100000	100000	100.0
100000	100000	100.0
100000	0	0.0
100000	82617	82.61699999999999
100000	68152	68.152
100000	61764	61.763999999999996
100000	51802	51.80200000000001
100000	53349	53.349000000000004
100000	50901	50.900999999999996
100000	51141	51.141000000000005
100000	53292	53.291999999999994
100000	45903	45.903
100000	49228	49.228
100000	47325	47.325
100000	48221	48.221000000000004
99999	51273	51.27351273512735
99997	49655	49.65648969469084
99996	48574	48.57594303772151
99995	49274	49.27646382319116
99995	42878	42.88014400720036
99993	49898	49.901493104517314
99992	49726	49.72997839827186
99967	54030	54.04783578580932
99964	44546	44.56204233524069
99915	58887	58.937096532052244
99896	51201	51.25430447665572
99801	55215	55.32509694291641
99737	52588	52.726671145111645
99565	48127	48.337267111936924
99488	52001	52.26861531038919
99206	49743	50.14112049674415
98731	50180	50.82496885476699
96172	48847	50.7912906043339
95449	48466	50.77685465536569
94229	47880	50.81238259983657
93696	49238	52.55080259562842
91532	46439	50.73526198487961
90430	48192	53.29204909875042
86228	44957	52.13735677506146
84551	46019	54.427505292663604
79220	44491	56.161322898258014
77450	46997	60.680438992898644
71971	45785	63.61590084895305
69882	69268	99.1213760338857
63159	62717	99.30017891353567
61000	60833	99.72622950819672
54383	54328	99.898865454278
46639	46598	99.91209073950985
7607	7585	99.71079269094255
1052	1047	99.52471482889734
830	827	99.63855421686748
717	717	100.0
398	398	100.0
314	314	100.0
178	178	100.0
139	139	100.0
83	46	55.42168674698795
76	44	57.89473684210527
50	27	54.0
36	30	83.33333333333334
8	1	12.5
8	5	62.5
8	4	50.0
7	7	100.0
