1	0	0.0
2	0	0.0
3	0	0.0
4	0	0.0
5	0	0.0
6	0	0.0
7	0	0.0
8	0	0.0
9	0	0.0
10	0	0.0
11	0	0.0
12	0	0.0
13	0	0.0
14	0	0.0
15	2	0.002
16	3	0.003
17	1	0.001
18	1	0.001
19	0	0.0
20	4	0.004
21	1	0.001
22	21	0.021
23	9	0.009
24	48	0.048
25	20	0.02
26	91	0.091
27	49	0.049
28	157	0.157
29	78	0.078
30	293	0.293
31	496	0.496
32	2554	2.554
33	662	0.662
34	1236	1.236
35	525	0.525
36	2230	2.23
37	1085	1.085
38	4210	4.21
39	1620	1.62
40	5406	5.406
41	1766	1.766
42	5359	5.359
43	2053	2.053
44	6871	6.871
45	2181	2.181
46	6710	6.71
47	7640	7.64
48	38999	38.999
49	6564	6.564
50	220	0.22
51	101	0.101
52	304	0.304
53	82	0.082
54	158	0.158
55	38	0.038
56	59	0.059
57	15	0.015
58	29	0.029
59	9	0.009
60	22	0.022
61	4	0.004
62	0	0.0
63	1	0.001
64	13	0.013
